storepath,iteration,libraryid
/nix/store/bhwfac2cayf00a0ajcalhkxqgjbh4c6b-ghc-7.10.1,1,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/x2r74nfmpy22z735sxf6pk0kvgwkbsgx-ghc-7.10.1,2,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/6ab1xf3470vix7ndwvhf65bkvx54mysi-ghc-7.10.1,3,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/mlrwmpdc173dwzi826lc122qkz6zv0in-ghc-7.10.1,4,text-1.2.0.4-460cd6383cfad4549ca823b148385bd0
/nix/store/c3k5zw81q0cw6axrqfmgk7nb8rahq42z-ghc-7.10.1,5,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/jra19z5n0y8nvdwjx6zd65rpmgxrhdpk-ghc-7.10.1,6,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/5v68cmr5k82ac0ap0acs235mbd0amd2p-ghc-7.10.1,7,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/26kczw4ph73jjcj07l0w776chdwcs18r-ghc-7.10.1,8,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/3xs7ynif9gn159d5pcvhivp65942c4l3-ghc-7.10.1,9,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/vg505bfcbgwb6dqbfmjj5qk4r7ybh5rm-ghc-7.10.1,10,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/i343g8wsrywlcnk1njx1p4l6fmaw2x1z-ghc-7.10.1,11,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/xxkkw3qq01hiim525gl69bcgwiy31x7f-ghc-7.10.1,12,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/j4gyk3fhz19wrad6qakgpn5qb7ljs6f3-ghc-7.10.1,13,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/j3rzx69c6h2y9n6i67q67s9bi34hr2q6-ghc-7.10.1,14,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/3c9q9wcbckdv6flj6s0zlifk21fmji54-ghc-7.10.1,15,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/82wpn2zrzzw5dra7282a2fjv7ry69i61-ghc-7.10.1,16,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/pbib3ibq0z6kjxqg2x3n8wbx1jzbiv18-ghc-7.10.1,17,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/m6h7nlmiil9isc776x6m8qbzjzi6dnad-ghc-7.10.1,18,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/i76gaapan011app2q26vhszlkw71jcjf-ghc-7.10.1,19,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/pzb8616qhy8plx5wl49hhgbgzc3rrjr9-ghc-7.10.1,20,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/98h89qy9ibil5s7wx17i6jasxs0zqk6w-ghc-7.10.1,21,text-1.2.0.4-460cd6383cfad4549ca823b148385bd0
/nix/store/x54a3wwqh3d5phrql1zdfq67y0f1yjf1-ghc-7.10.1,22,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/25llbawjjlmvr0s33wnq4bdgz1gi3mya-ghc-7.10.1,23,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/y054qadcbqkd3ybrpkkrigysp9hnag8s-ghc-7.10.1,24,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
/nix/store/lacmbdl6c1c03v4pqyh9av26hfair7jv-ghc-7.10.1,25,text-1.2.0.4-850d5fffbff178df287c0381d4b4a250
