storepath,iteration,libraryid
/nix/store/3lbnx2p4ww597131gz2gqz1mb5lf569s-ghc-7.10.1,1,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/cwzxazfjazk1m4l6g5c9d28y2i0mzp2b-ghc-7.10.1,2,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/0rbn6hbjwnmr54aj1z3vbwvk4nqs5r7s-ghc-7.10.1,3,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/c1lcbz9nh842pwglwqhd4izr384z90q0-ghc-7.10.1,4,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/yjwqdxshv243lyv331lfa09fribmaavy-ghc-7.10.1,5,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/47zf6as8qja68jq9msr4k89piwg2yfq6-ghc-7.10.1,6,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/3iw3vcv1x6awq3mqqcdz9q6siscm2vil-ghc-7.10.1,7,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/gyv3gb1shb5xcp224npls4w8wvxfpj0i-ghc-7.10.1,8,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/swha51gjqydbqbdf4hxgyb2bdavxkvw3-ghc-7.10.1,9,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/djdn1z6d8kyykaad78jzgidp70lsr99v-ghc-7.10.1,10,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/a64w84k3g7yp1bzhx755bxvfxpqkqdlj-ghc-7.10.1,11,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/3x6c5ldsa88676y5l3cl4fi7926qlkk8-ghc-7.10.1,12,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/7mdmvagyyxlwyl0njrnvfikzk2sf19i9-ghc-7.10.1,13,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/4v2zxilas2hvilfdg4ijxis03zghvh1p-ghc-7.10.1,14,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/5zpy6x53krn8dpjxc3l1daq7rkkwvnsd-ghc-7.10.1,15,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/mmddibcr1damkyyfkg3gy4jqpakmxayi-ghc-7.10.1,16,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/lqvzn9jc1m6jlwlxczilpyv4nsk1kvzl-ghc-7.10.1,17,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/m0b5463rphpg8ccb0rwi0l494da0pg24-ghc-7.10.1,18,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/06wb09dn2mc166ci3l3nw97s20mcpag5-ghc-7.10.1,19,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/gxh3njypw2limi0a71b7lzmqm2nzpx72-ghc-7.10.1,20,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/9v39xw6agyrr32xnfryhhzv1m91snfg8-ghc-7.10.1,21,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/18zkygba3469yvqk6cln3x4l2kh54wjs-ghc-7.10.1,22,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/jydwcx0mi9pwy557s8jcill92h2q1kmj-ghc-7.10.1,23,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
