storepath,iteration,libraryid
/nix/store/par6ggs26k33ffcqr4az3vgak3n3650d-ghc-7.10.1,1,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/iglm9f8270d1ba7jd5g0qpng93svscnj-ghc-7.10.1,2,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/awl7zqczmcsqy23d5l1c3h336brkf040-ghc-7.10.1,3,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/wizn1rgj6nv53z1xbbwmf06ky8zdl9km-ghc-7.10.1,4,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/afqbks31qickplzg2q5zfz6v017900i5-ghc-7.10.1,5,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/ydl31rxmmabmvrx2hbrf2wba9fp0wi81-ghc-7.10.1,6,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/izgldsyxxbr44xnknq9c8g2r1yipji18-ghc-7.10.1,7,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/nr7dn66bckyvlr29p1mq72dg0kmgfvdd-ghc-7.10.1,8,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/63bp48gqljrk5g1n2hpi524x62n6dcv0-ghc-7.10.1,9,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/mwsg0kj38y05ppmmq5lgwxkprn6x7x2k-ghc-7.10.1,10,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/vhirxcyacp1n51hwpv7xvlhd696j0iw5-ghc-7.10.1,11,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/0223fwkxr1ba3w2zj729qp7wvg3cpm2n-ghc-7.10.1,12,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/67whmnnpgx2ikp047lmsh3zmbbr5118z-ghc-7.10.1,13,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/yfsjvlsd8vxibsim2n3j0h8bqly2lvz0-ghc-7.10.1,14,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/r02qys6cm0rb6xkn1546xfbcl8r1qizx-ghc-7.10.1,15,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/jhv5bi8160qsaj0xzm9zmyb9x676wdqw-ghc-7.10.1,16,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/5maf1602n378dycsh37lcc2ks523k64k-ghc-7.10.1,17,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/0kshdd4r43xmgngpba286qdx0czm9ys2-ghc-7.10.1,18,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/4aavxiwasqqqzpdic26qg9f1h6hqwvaw-ghc-7.10.1,19,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
