storepath,iteration,libraryid
/nix/store/zfhfdwmy3rrps492wzmava35iwc0lrkl-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/0k94z45xa6c2nlw9w8b2djhq3m5c9qky-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/cbyiiinvz99w4d3cwgaijvcxyd5l8xwr-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/7126gr91187an18b7sghk3zqz5hy2fpy-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/c1sdhar2438zx6z6wxzsvdc3yrwb3a8j-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/649zgnx7si78ay9zmq5vckkkprxcazy9-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/axyzddrz5cr1zg1gywgbij5cc53r6w30-ghc-7.10.1,7,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/x2l3nkmfb1srv283i3i221f1vx82gl7q-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/sia9jjfyil8d0by2gadx90dc6hwf4hvf-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ri50r64p69zai3zc0yqb1qsqvq8i6n13-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/f3ya6ypiw0l46glsdcfdwlnl3gzqhpjr-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/0r1za3i926hp317b1cas24zw1isdipxs-ghc-7.10.1,12,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/vy86hnsahfysh7khz2bmnnwydg0zpvij-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/jzrfb3my67s833aangmxaz7svidgy5h8-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/j30hchpbg74wggvl35vqnkx0imgbnv1j-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/z9i2s4wkkr9y4ydl5ijd1ykfczb2fmyy-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/asp1gs4zzgs5gkpfqvxiaclbjphjpljq-ghc-7.10.1,17,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/677j0ks15p320cryr836pdblb73z8sa0-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/h4l6qf71kxpyyg6hmw3nw0bzkkaicv5h-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/wkkrggs7f3krfnr3m4d4v6bng331psk3-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/yai6pqaai0ackydigciizf51z2q7mqbm-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/f2iwih0ms2mjpnry1dz3zyqb1pp2hjm2-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/jh3nij091pfyf1rxgph28pb3bnl1y54m-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/fynw5g4h38bywx16l7sfbvb9la99a95k-ghc-7.10.1,24,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/y0z4vx9y4fqi34cz50135y3553f9y1cw-ghc-7.10.1,25,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/s69lphpy0q0blxxha0py1adlp2nqiqdx-ghc-7.10.1,26,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ycf5zclz7z7vf433ynylbdxs0ybpqaw6-ghc-7.10.1,27,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/0ilhdrcc055zhmxl3gsgfaxn8fjmvrhf-ghc-7.10.1,28,text-1.2.0.4-287fea8100fd89d633753334774d997a
