storepath,iteration,libraryid
/nix/store/rxaq2jqpgn3bmsvzprh0s1hj20jk02h5-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/0k8pa0rlwvv4c9zvrjkjh1mra30lwfcv-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/4g7xqszpp4fcskvjrl196cb5n2qygvc6-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/yxgxqqvqjm9d2dc9xf9j5aka3878x662-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/wxxixc4ph3llfw2qbydcvda38sgp4mfp-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/pcrgp9c1gwh8zwj0h2nlkjy99a3lab0r-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/c7ras503kahpc1ldhgw9piw08g10ygr5-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/hgh717brnc2cnvnglflvhha287npl3nj-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/zwbj69arxnmglcir4582q4kdl344cf0b-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/iccyy68qkhlbvpsvls0d5sk4z5klii6v-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/722y7m7dnisr5bvcyfglavnvvlpwb4bk-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/garxqs1inlsyxh0am16wfyg117mbjfrz-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/v8d8cg51gq0k2x7x5frhq39mji3bd7vq-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3dn7prsvwdkzzb80ixm905w3kg8li1sc-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
