storepath,iteration,libraryid
/nix/store/4dxy555q53yvpjj5835c1l7fmskw7lqg-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/j9gfh62dd83f5vzklgwafq666w691051-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/rrxsvy39fj5pmwch8qi1lxh0gjrqyvbf-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ws19zp52qjzlnb56230kmkgwb0iv34sy-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/l203m0zhas8ry6lqhzjp564cpzpzqm43-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/2jcri0sqajgzfq5hm8f8dkx50s9zp0gg-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/gxywzp9vmilzpbinfb685nfljz5gvgch-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3smh8maa7pifbayggj9fdmv95722js1x-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/q6xjykz92g0x14jh6kakajwzk5nxzbaz-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/56wh0frlkjg4cavd1ld15xf18ml463ac-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/bfh3c4ly3q176vf5wkwyr9qxmdw3w888-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/7mjbngq3d55p15ammdgi894v2ijlsmq6-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3v08af220npnv3i057s0snv77ky9zxp4-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/8fn957am0jiirkqwa27lw9iyj7aq7crr-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/98k1wc0fbhl546v4p6m50a64jddgq8gg-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/4vg230vj4mrjl7rx1qgrsv08f82fdp30-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ylb4vxsdi5m8s5ryx3vzqcwks648rlcg-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/nrm2g1zzm85wb36mnkd7y75p6j1i5f0p-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/lj6ji54qi1ahyks0mwpf1fn56zri5bj1-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/1q6vdvh81d5cl2d8payv2y1s7m8ks0m1-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/0q53799mnipwcc383hbnag0dzjn7syxp-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/78prbf3mvn0vipcvjggcw9s7jm2flmzs-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/4dr0mmph00rj1khccnwgbk0jf2f6nbl7-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/95p0240m2jb58zi6qnbiy95g2prfllg4-ghc-7.10.1,24,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/a3r015590rvgcbkzmnchkzzjdbihbkvz-ghc-7.10.1,25,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/h3bl9vbgn3l6qspymfb21w2r2rjglg4k-ghc-7.10.1,26,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/h0ry7b85sbrviviz5hwm0ac8v077r53b-ghc-7.10.1,27,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/lrih1x14r8rrw6jygjqlhd1r03f1sgj3-ghc-7.10.1,28,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/q5f076vwmy2lv49l21igis5ld0h2z2sl-ghc-7.10.1,29,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/7fmlsagkx3734wsx68n55yyp9a1wgp8a-ghc-7.10.1,30,text-1.2.0.4-287fea8100fd89d633753334774d997a
