storepath,iteration,libraryid
/nix/store/d988ss7jrk3qfylcmnz40cixbvfp7y0y-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/4kq23jdx9wj07xa0gk6c6xa5n5s06m2q-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/mgy0gm5zk8sgcsighvl7qaa0cfmzxhvm-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/xcrj6v8nyfhvz54x0sj03jh1z1fc9y7s-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/rhfp21a4s3vqzrnkcsbjhgnhyhmn0bgr-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/y6khgyna3v47c61drsz7bmha5s0iv8rc-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/gm9i682iw3ssm5af5qvvpv5kkvgmpzcp-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/skddphs2dm0v0nqdg6gx94g7xh19p2ib-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ahzy3g1ax6xzf5is5kirhw17r3339h8v-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/6mqhhq4gd97401ywzyidfl6cwn2vjpg9-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/lnzidnxlnk7220hlfjjmcrgwqlnward6-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/pjh627l415j48rsbh09adcbs5fpy71c0-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/hi080418sd3wc24xqdiy33lrdrgg8l6r-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/c2c1zp31vaahwz8fgp0mh6kmyaaa6y58-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/q4yxrabi9n926ggmabk493r941295yvk-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/6a0v9bl57gqf1wg68rgh8mk2fcd31mkl-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/5qbn4sh0l5wlg9lmwfcihk8ljiwr94y9-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/86w9ps14a2qq3bm1c8ml3hnhfyqwvgq4-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/xi7v2ywhcambcc3776p3rjs1qrn08g4l-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/x7l4gdb9yfihwi4r99s0j9k64ldgz5iy-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/igg2lyh9jcb2987rxwn4qqw85rcwh77g-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/sl5yagq3snccv4hlv4mrg1csfdls3msy-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/hk7dkfkqydh2zirzjlvn5dsvchcba150-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/330mkd6ax2b1b15y9x0n6zdw9cga7nm6-ghc-7.10.1,24,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/7fm1pclnjs01mbp6d2mcrcmz0gjfw3g9-ghc-7.10.1,25,text-1.2.0.4-287fea8100fd89d633753334774d997a
