storepath,iteration,libraryid
/nix/store/plyv056ahbzi47narnfp71v0p3zaikm7-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/l37c5lx6d3zz9bdqy6wf3kdg0h50w0jy-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/06gq3blsb9g479rl82qxbnbywj4j4rqy-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/yqi0jn2ikfshcnjbzbl4g6zvrcxhblnm-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/5n65cm6vbcz0xsiv6913px6457by9agm-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/6ij28g1a1yg4bzpznfp0hjsx7cxbbx1m-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/d5p2czcs8pjg6rszxagiwrczw40j5bxl-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/dnkj1b7bpin457yzg58l9z1jm496kjc8-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/zj20h5bld40cy67knsdllgcz6r5fppn6-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/i99jiqh0qklyzlfs6bn05g9mz3s8db4y-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/kbhszr8lxchhmyngv1fd22iw3970nsyi-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/mj48qhfxkgra319f55yn9v80ism7x5mg-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/32bfinc6wqdfyqvd9jiyykm26dgwdjxs-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/31zs5w34z1g29jig38z6h26jswdadb0m-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/d7dnz0yw0zckrqa130bzsh1z0nbks6pb-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/8kbmxsvcnx2yp5igjkv71vlias03sj7w-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/iafiks089q8nyhsgc4cc79jyb5wxpjm8-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/p5dzxbmxl5kzid2djwsnl48hb1nqnbz2-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/s7ab1p90qhk1vhzy6xxwyyklf96yvm49-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/9psi75847lgv3sqn3vmz5zj1p94afz36-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/i4i26qvlgzi3857xyh4rzcw2xql41rd6-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
