storepath,iteration,libraryid
/nix/store/x3bmisim42ds6p68df0r6zdp8vihkic0-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/igjagrr9m6y6f2k926hag5xar5grk1hn-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/kqw38pjwbqc0fd9cylwyyd8ijak640ws-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/4l7w4rj0bd9frf39wqa9wi2bxh0r1xsg-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/fk8b7aga70ka6kn9gnm2yg8kd8idqp6f-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/vix39haj3bg0s6ypx97agjik0hgshgfg-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ggn8vffpdybfssicnhs0d5w5gd2xqlm5-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/5h4dm4i4vwfz9p3630fhwpvfs44ccdbg-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/w77g3il4rxk3dx1hsiqfh8mq6vggimm3-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/swm72sy9k1f8maqh9bzcr4hma9ghrwr7-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/dvf3436rifbnh53zrzcj7qzwqppvdb9n-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/sz7cqcd657c7n4skqdyg8riqvmfllsm0-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/qslijcn9189gnahnnky7x9ml5188lmzc-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/byl5nfzml15dwjmvj3vwmasbvi1sxxyd-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/fi4as43w096r7cblbyzx8qwslajq2nwg-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/9mna1v1wpfazhaf2fykddqy4q6hpxxh6-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/zfgir8xlzrbsdz9nmys7kcnbipcjqawv-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/m538w0dc0f6xzfjjq1q383nrgbm5x46p-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/sg60j8qfi7zrkv6qci2ajq55g68nli5k-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/wfiyi2dw4i35bfd36d1rwpf80mg1llz0-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/7dnzs6naiyr8wjj2ja2fr9x1kdplfv7p-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/fb48n0rm5bljfrnmhv32k76y5z96xswc-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/sgw3yx3vj8651gcf83slvsjcij7qlzgr-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/nhs3l4nwiqy7rlq60lwvb02js5bs8dg3-ghc-7.10.1,24,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/kzyd64kdqaywjik4kbvpk031xh88mbl9-ghc-7.10.1,25,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/47cwaijd2h8j37dlisnk5rh9j3nvj5wl-ghc-7.10.1,26,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/033yzsl17m5azj0pl2c9xw4fwbc6zbpy-ghc-7.10.1,27,text-1.2.0.4-287fea8100fd89d633753334774d997a
