storepath,iteration,libraryid
/nix/store/19jd1gqpxi2h1v1846r0b91g6bpal3v5-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/1c1mbf2ax6nf8l0j5bhgk6m5k2zli7x7-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/hk1fmspgvxqg18cp4x7jgi4ai70j4h5v-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/49j7xqc75cgrbhm25pg697wn9n2i3rj0-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/y0lxclczjgvnlxy9bh2ldys18wkrs6zq-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/31rah46iqpfc033if93c8ylgxq2zsfvl-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/2kqd4qd9pgxg373m6rsac6w2vxpnfnjf-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/c0d6nfgb0rkxywl2n2vlr86ffkz2ayc1-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/gq66dviz3mcg4gp0hdxrfh3r3cvm7i4a-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/dm14sqvj6ljsalfxq871g7fzqnqs0p2a-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ywrq6s3gvpcpb66rkas26cl3xi3jn4i2-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/i2w9fxcj2wivya2kf6fyf52fd9bdvwd7-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/mgsgdha7mhfdpajcgsy6rkdj71rld1vj-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/vfyajjar9jgxd32gxs47dpv2k77bc1ml-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/v9vgyp3a2yms60mmqxgcyb8nifgkslaq-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/9f089vfy7yj3fvg5sl60x71xwphalmd6-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/lfaqjyvnqy359bfs5fmszvaq1z2xmy9n-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/x9pdjmkww1df4vfb1mrcylsx7306vlpp-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/syk959x8ki0v86kz2f8jrw2kfvanhxdb-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/76g1al1fbxbgiz3s746fr1ps1akbd4sf-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ri2371yppj56h2zm75v813m1m11qyn7n-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/gs4p5xgkpc6nj3dcimvi3lg7mf9cbq9f-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ph1kh7c50w606hn84qimhl5xjk1vsin7-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/dkzichz81a6k42f7g0cbh6prkyhbhygl-ghc-7.10.1,24,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/4x4pw9vaxnigl52nisnv596gzjp2pad6-ghc-7.10.1,25,text-1.2.0.4-287fea8100fd89d633753334774d997a
