storepath,iteration,libraryid
/nix/store/0ka1r9f9q8zavyxw6743zzqjn7v3rys8-ghc-7.10.1,1,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/i494qawrzldcy048hc1bgifvwc9d6997-ghc-7.10.1,2,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/kk7sky8rcny3j5rhwc5bxnm13k2ir6k9-ghc-7.10.1,3,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/4d1y33ziy2392i8k6fhqq9xfchlkbqy6-ghc-7.10.1,4,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/rplx1lh25wqjs92v107155f1qdyhwlsl-ghc-7.10.1,5,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/mq6yd49cmhbpdrxsinbgrm5ayb6pk8ss-ghc-7.10.1,6,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/wpgyy71q8wagpz35056q7afb4icqjkss-ghc-7.10.1,7,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/0hg08qh528lc6s7b3ca53gzh5pbkksyj-ghc-7.10.1,8,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/i1za8ic7bn4bbhfk2gjyqm7ws7gm9ngk-ghc-7.10.1,9,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/yn4jx38br9y2qizi04gsnskaj7mcf00k-ghc-7.10.1,10,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/099gf0bl8qlfc7bz2xb5rl6xc9g4nsca-ghc-7.10.1,11,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/gpf2savg8gj18f52xnmf4ygam5harllz-ghc-7.10.1,12,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/fz3hcg3ad21s7641ai5zmh1fxwf72mxv-ghc-7.10.1,13,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/3g95bmsy4lagbb7kqk4m8hwm95y6iicd-ghc-7.10.1,14,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/y6paj87k9khsxy6w327rhkm75ra17za6-ghc-7.10.1,15,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/hnibhb3szy2lpax1v9wn6mdy34v8k83z-ghc-7.10.1,16,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/wi73pdwmb0c9vks2as9z06m5s2c7hz8n-ghc-7.10.1,17,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/nnm4rbq6g5gs3qavrac7d0mphkjsg364-ghc-7.10.1,18,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/rafi9cdhj0pvgsfdhnja6dlx45wp0nk4-ghc-7.10.1,19,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/a1996jp34k3y36sk6r0zpky5mvcfngfy-ghc-7.10.1,20,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/rfym6njrqfady95mg2nm5pnxchxsya7h-ghc-7.10.1,21,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/my7hbx4mcaybk8ycnls3s1bl2zgm1d5h-ghc-7.10.1,22,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/f7llj64p94f185zfcy6p3v6nllmi1dm5-ghc-7.10.1,23,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/byhzwmmdkg0zm1bq8nmiwpxrdwyiiy6i-ghc-7.10.1,24,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/in48b8y3an90l0lkf7gcqxchizl6j87y-ghc-7.10.1,25,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/0g4prq9lr870z7im163fls2h2vnhyypy-ghc-7.10.1,26,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
/nix/store/avyyiap80z5wh7z6zn9lishwba98n0w0-ghc-7.10.1,27,mtl-2.2.1-9986828fc95bc8459870303efaabd81e
