storepath,iteration,libraryid
/nix/store/jcpb8glw1vjrkjs91l1k302bi21l91iq-ghc-7.8.4,1,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/pwlp7c11rpqfmgaspgcmxrzv5v3sp6x2-ghc-7.8.4,2,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/i8g5dwavi114bwnw72xd2gca2pn5j8r0-ghc-7.8.4,3,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/p98hwgbgqsqg9jplsci6r87sg62q18bl-ghc-7.8.4,4,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/vhg3bp34i91r0d08qp553piik93jr91y-ghc-7.8.4,5,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/hiaxf0bbyf4qq1nhaxys3c2a0csfh5c5-ghc-7.8.4,6,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/sg6my9v3mk90f4y89fmh2ynybp8h5wz0-ghc-7.8.4,7,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/sqrzfr6naz0j9cc08z4wbyhdq8pvxb5r-ghc-7.8.4,8,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/7wigs3sl8915j2f6dwadsqfmjrfpzn7i-ghc-7.8.4,9,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/91vgpvhx2q8hf1j48j2qp8nahb2rznil-ghc-7.8.4,10,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/31mp1mny8wvn98ywkaxav8m7ixzfn7k2-ghc-7.8.4,11,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/pl21jq7l04nv3ksr5zxa4gh522m1hjy7-ghc-7.8.4,12,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/wmb77v6qn13pmbn7q674zivv31d87gh0-ghc-7.8.4,13,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/32w8s4rw3025d7vd9px1481glb3ln4hk-ghc-7.8.4,14,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/r784myn6x83d95v1p8mzpvcg9xmx1y8f-ghc-7.8.4,15,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/rq4q03axyayfdqsgv9f8wmahz54zsd7s-ghc-7.8.4,16,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
/nix/store/p2j65kpkf5b5p1x1dkz6njyqjiklcgdb-ghc-7.8.4,17,text-1.2.0.4-c2596f535ee749f825aefb3d8068c2b5
