storepath,iteration,libraryid
/nix/store/x9gryxl8l4nxs4i3v74ia8z81px3n310-ghc-7.10.1,1,aeson-0.8.1.0-dd1213ee531f8907a18912abd7dc402c
/nix/store/0nm91ic4z580fdhaan7zg3pwxxiaak73-ghc-7.10.1,2,aeson-0.8.1.0-9460f72ab3e5830944f6a52f28874202
/nix/store/fb9nml21brzk21qj1f534f0g4lgml5bp-ghc-7.10.1,3,aeson-0.8.1.0-ec783e747c0063862e7562a2d46bbc5d
/nix/store/30pa74nda9vm2a61bhnl0i3j98gclfkj-ghc-7.10.1,4,aeson-0.8.1.0-d735c04548e926f87efd7ed3743ddf04
/nix/store/b2pp5y3gaqyasns7b7nrbx13m7x6i3mk-ghc-7.10.1,5,aeson-0.8.1.0-a11a9c0f53ea878d5a633933e100d0c4
/nix/store/hxd5lbkspk0jl4cc25mp8hi7wbd2l1s2-ghc-7.10.1,6,aeson-0.8.1.0-b321aa8e9ca938583c07785a9ed73304
/nix/store/pg45a77hg8wyx329jrybpwkhy91qdc1x-ghc-7.10.1,7,aeson-0.8.1.0-eb09b81794a38676b287a13c9e9c1a57
/nix/store/21npwdrzz5kd65k3p73kf075b9s1q1cc-ghc-7.10.1,8,aeson-0.8.1.0-2282da59542ade875188a289b7443630
/nix/store/6mqwhzlsm5fnbkmzah797q95l23fz9fq-ghc-7.10.1,9,aeson-0.8.1.0-2d8951af3c613bad5f5e53735988d556
/nix/store/fpxqmy04a0vm6p6np6livai3gd3a3q5d-ghc-7.10.1,10,aeson-0.8.1.0-e5a8c223bac7c98b2b7f17317f25f80b
/nix/store/g7h3qsnhypfpv9szn1m70cim9hr3lqh1-ghc-7.10.1,11,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/hkp68ab3s5b5wzim2ikgxqlnms2s8rqz-ghc-7.10.1,12,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/1rppk26yd6ixm8s1yd6dhs3bpjg1ag6s-ghc-7.10.1,13,aeson-0.8.1.0-b081c894acee615e371d31b7e811eb90
/nix/store/6z0s61c78phakx3cnqcm1hx8nc878bbc-ghc-7.10.1,14,aeson-0.8.1.0-57a0beb37bd7c34809796841b7b401b9
/nix/store/3h9z084rf4qxsgwslc1kf42rm846n594-ghc-7.10.1,15,aeson-0.8.1.0-e99f2b29f24d4dccbbff7ba79679441c
/nix/store/jsaridwm3l0jx22afiqmyrb10165392p-ghc-7.10.1,16,aeson-0.8.1.0-26f049c17a4ee004bc3705afaa0eef17
/nix/store/hqxm3jhk3vdr9yijgkvpp50vdm6ij6fi-ghc-7.10.1,17,aeson-0.8.1.0-eae5866e975152af11a15952a7f8d56f
/nix/store/sj9zldrypwn6m0ynf4cg4b5jygavsg7d-ghc-7.10.1,18,aeson-0.8.1.0-d735c04548e926f87efd7ed3743ddf04
/nix/store/25ci5aq8xppnjm9ajgh8q95a2apxzk4j-ghc-7.10.1,19,aeson-0.8.1.0-f182398194f8fc489f15a3494bc4d83f
/nix/store/96wmvrq5ylzh5nmp28ngadwnp1nbwfch-ghc-7.10.1,20,aeson-0.8.1.0-b17dd66742258166ff197229735b0804
/nix/store/7h83zkmccrxvpsmhx79rfx6a9ynb4hc9-ghc-7.10.1,21,aeson-0.8.1.0-6ce04b26ae4131c22bce8d24e8bfb75a
/nix/store/g1cibidyjl898i1hsxbvcahsanm3p88c-ghc-7.10.1,22,aeson-0.8.1.0-26f049c17a4ee004bc3705afaa0eef17
/nix/store/z409m1kkgs5b3dmkq13r9ds5hrw4bl7r-ghc-7.10.1,23,aeson-0.8.1.0-d735c04548e926f87efd7ed3743ddf04
/nix/store/qw6996s00s03rdx1sk98dsxjz6k9c8sv-ghc-7.10.1,24,aeson-0.8.1.0-4c7b2bc1c93bc2967f8c4582b51807e6
/nix/store/a7xv8j80cz0q0nbcslih00yg7bzknpg0-ghc-7.10.1,25,aeson-0.8.1.0-191e4cdb1e5f95a196e9650347db7398
/nix/store/kjawpy1pmbxsmbhzbjpg20n5vrh7sp5s-ghc-7.10.1,26,aeson-0.8.1.0-91fee41d788a8a62cb20796c1be72893
