storepath,iteration,libraryid
/nix/store/fkm4r8md7sw3vahimlfn8hgf0r9a67wd-ghc-7.10.1,1,aeson-0.8.1.0-8ce6b07c8114af9d3b61182787231a4e
/nix/store/1xf7k3vkxl7awrljhh9c68xy1wafdjsi-ghc-7.10.1,2,aeson-0.8.1.0-2bd5e8217f5cf39b927c71f739f8ac90
/nix/store/i2477wkg0924rkxmjx92gxniibrgj6wi-ghc-7.10.1,3,aeson-0.8.1.0-2ad774df8bb8a90126494c8275f50eeb
/nix/store/axyvk5vqwgnrnwr3g1cshd3222xq54ib-ghc-7.10.1,4,aeson-0.8.1.0-46e2871ded46b23b267686fb46830609
/nix/store/gpm0c705k8x6sgzlf3qw2m5c7aiij1yw-ghc-7.10.1,5,aeson-0.8.1.0-89ec27f7a924be74d2296e227dad34f9
/nix/store/lz502wyaf6rvqchjh5aihbc71vxcmf35-ghc-7.10.1,6,aeson-0.8.1.0-8a8089b7d57c7116ee2404a3bd758e99
/nix/store/bgphsvnp2114abdan3yx5jmv0ryljk43-ghc-7.10.1,7,aeson-0.8.1.0-7b04f690b591f9a6c98bc9a26481339e
/nix/store/i46165agp9d4i0rfsx0s95jjvswnkj3k-ghc-7.10.1,8,aeson-0.8.1.0-1ac290de674d7fb2271fb74088e13ce1
/nix/store/i6wmrsj2mipsbprq7kxys33x16gmwpxq-ghc-7.10.1,9,aeson-0.8.1.0-adc83ef2f03d4ae3464bbc439bb02dde
/nix/store/izal70346rvmd2bxzymfplj48cihww7n-ghc-7.10.1,10,aeson-0.8.1.0-2ad774df8bb8a90126494c8275f50eeb
/nix/store/pwqylr1b0bn1gljc9nadpxa7437z2h23-ghc-7.10.1,11,aeson-0.8.1.0-8f2b090d504c5035bcd0694d20d1003e
/nix/store/m6r2knqqylm28m8zm699x4ar8va8xj4a-ghc-7.10.1,12,aeson-0.8.1.0-a444abf292f634bfb526bfefc9e309a9
/nix/store/sdvw81xpj6vnii8i05dc7izpiha9bv8b-ghc-7.10.1,13,aeson-0.8.1.0-489fac62eb20f72e337d1ee7e366d920
/nix/store/wxfb6xhbc3sba76jzaqcczci3sx5gdv8-ghc-7.10.1,14,aeson-0.8.1.0-39c449a52d22ac2da628e6d10c7dd5f8
/nix/store/d7xdz4rbwys4y9aichxadgsln7qqf3s5-ghc-7.10.1,15,aeson-0.8.1.0-1ac290de674d7fb2271fb74088e13ce1
/nix/store/gvyvms12s9izclsrff01b9qvvhyvm8x8-ghc-7.10.1,16,aeson-0.8.1.0-26b16dbee741530c4e179e69b0a8a70a
/nix/store/kim2j3rb7f1qmc34a94yz5c2dsxi63jj-ghc-7.10.1,17,aeson-0.8.1.0-93f1ed7f4fe0c018e9816b1ce5099c4b
/nix/store/j3lnkl9jrjn0cjigz4vmj9djq5w2vpb4-ghc-7.10.1,18,aeson-0.8.1.0-489fac62eb20f72e337d1ee7e366d920
/nix/store/w7dwhhwn7hm8askfvi4qmj9nfs7aav3w-ghc-7.10.1,19,aeson-0.8.1.0-1ac290de674d7fb2271fb74088e13ce1
/nix/store/vr5g1c7rvrh9vls9rydjn2122xzbn8sb-ghc-7.10.1,20,aeson-0.8.1.0-5d9ae312636c3668ed9d1ba110ed1c9d
/nix/store/sg1c7qlhhndg4ica83nc3dqcxybxc7iz-ghc-7.10.1,21,aeson-0.8.1.0-a444abf292f634bfb526bfefc9e309a9
/nix/store/3pi38cqqja5dd23pg546m6v08dr7b0rc-ghc-7.10.1,22,aeson-0.8.1.0-1253402cbc51d12406a5c68cd82a3a40
/nix/store/2sv34hiw3mq21wi9vbz6i6j0gk23s7ad-ghc-7.10.1,23,aeson-0.8.1.0-8128ea462912b419b27fd5606bc05ad6
/nix/store/8mvm2js1jggk5qnzqska1m0sgbz3ggkj-ghc-7.10.1,24,aeson-0.8.1.0-434fcb53fa327deee0bf7f2fe9f3f809
/nix/store/4kpba7plrhcfm2v41b0n0mvgxsswyxjc-ghc-7.10.1,25,aeson-0.8.1.0-761b4508ea9fc58c912fa3c00df44051
