storepath,iteration,libraryid
/nix/store/drlrygzp72n5mfw1wgspzawfxik6295x-ghc-7.10.1,1,aeson-0.8.1.0-787ad4298e4a0e0e739ec4c25829e538
/nix/store/2mxgrv8ns1cfd3x2ryp978r74hcxay4h-ghc-7.10.1,2,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/k47rxjyj36p0511l8m38i88rssap4mph-ghc-7.10.1,3,aeson-0.8.1.0-e4d3ea7f6e8837c0911e37a6ecb90300
/nix/store/in7hp40g9zh8a4px82pf6x1sdwa47k2m-ghc-7.10.1,4,aeson-0.8.1.0-6c49fe42c1a1661fc396ef55905a505d
/nix/store/km1gkxch2ymxzdgkqg1814j5j8p6nkx5-ghc-7.10.1,5,aeson-0.8.1.0-4a4c533dbdcc23a9f7fe646965c0435d
/nix/store/72ybx8fngfpgrfi88sqr6hwkyf5rbyvv-ghc-7.10.1,6,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/gpa4kqwj62x95dr2lgn0hifxbglr5nl6-ghc-7.10.1,7,aeson-0.8.1.0-d735c04548e926f87efd7ed3743ddf04
/nix/store/459drsfw15fimq5rdjrq4svxxdjnh75a-ghc-7.10.1,8,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/j0jzlfa2hga6xa5h1ky15qrv60vih74q-ghc-7.10.1,9,aeson-0.8.1.0-acc3c609bf532ccb8e3989c18c044b8a
/nix/store/81y5f2mmrqp87740yfkwjjps58nan5mn-ghc-7.10.1,10,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/36g7wl96bxv7lhb5mzr63v53fiamrb2h-ghc-7.10.1,11,aeson-0.8.1.0-87b870952a5ab96cdeab49a04486fea2
/nix/store/0jxv2rjw5ivvdbw3zjy3z7k38c8zwl9z-ghc-7.10.1,12,aeson-0.8.1.0-1efa0f963f99526b805e38bb2d1f4827
/nix/store/yl2qr8nd5ybjk9fc8iy23i1yl2v8j9kn-ghc-7.10.1,13,aeson-0.8.1.0-4bdce45b3f88c00554cf419b846583f5
/nix/store/6ldkl3399fbfjjaqi21lyvfa1h4qmxqd-ghc-7.10.1,14,aeson-0.8.1.0-ad20415bd4c3a66ac4ed728695577cf0
/nix/store/rqqd083ywvdiz4jmk3673a3y0b4d842p-ghc-7.10.1,15,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/fx63gqcas09zf54myacq0hj4vr48gi52-ghc-7.10.1,16,aeson-0.8.1.0-9d8c3f13928194ef99c6c018fdbce7b4
/nix/store/4kblgfl8p2w9n28srpg4jbs575b1x9cz-ghc-7.10.1,17,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/r9pxqllawl4sip958qcyfpvd7shmwml2-ghc-7.10.1,18,aeson-0.8.1.0-e7e52c8ec94674af89b9cff28fc0e51f
/nix/store/gnbzkzrby3n1729ly5afyx0pd9hnyvj4-ghc-7.10.1,19,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/gkz60acmkn2fdpnk94af4kfbnzd1hssf-ghc-7.10.1,20,aeson-0.8.1.0-e73509fa6f2472a9dcee26c47024b51d
/nix/store/x67s6xj3c2p8kp75n0psjq17v76zmlyx-ghc-7.10.1,21,aeson-0.8.1.0-9cc01b434ba4fe211f5ac7bdbeb83b23
/nix/store/82aaxzvv2lm7rk9ibzrhlm6xfizzr94j-ghc-7.10.1,22,aeson-0.8.1.0-ef8d715255aee88804cee1333b82de2f
/nix/store/6dvl0q3d1kdxwdzglakgbd5kv202sj18-ghc-7.10.1,23,aeson-0.8.1.0-62293b0fb66352fae934e257ad42564e
/nix/store/lzcbl52g6258djyvh21yzxnwbj2l590x-ghc-7.10.1,24,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/1g8agd6rw949qfrwwrnx7rpdm0pcam4i-ghc-7.10.1,25,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
