storepath,iteration,libraryid
/nix/store/g800jvm28q5gsqhiv3smqhw0l1vwmsjm-ghc-7.10.1,1,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/yx0wi4kkpyqpx2hc4vn808yfjw7hya8n-ghc-7.10.1,2,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/59s31aln59vp9a6jrjp6bwmfyw6d1aic-ghc-7.10.1,3,aeson-0.8.1.0-b82e3933ebb33b99ab2d3f4d69ac85eb
/nix/store/8cjjvfaavn78aa2hsp8jcgwgjgyqiq45-ghc-7.10.1,4,aeson-0.8.1.0-9cc01b434ba4fe211f5ac7bdbeb83b23
/nix/store/miyrbb2vqwyylzy9a5fq982738zli8il-ghc-7.10.1,5,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/d0hlil0i612rp9r0azxdwbl5pyc8bx72-ghc-7.10.1,6,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/75qfyf16nw8cscqhalkvzcphhqkd42lm-ghc-7.10.1,7,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/dvg3zaw97xn45bahp263aw8bv9ipgn95-ghc-7.10.1,8,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/v08l6fwzvy22cj1j8yb3bd5dcfmhc8i6-ghc-7.10.1,9,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/gh1q930dyjg7nlh3h890c2d18p5zsmbq-ghc-7.10.1,10,aeson-0.8.1.0-1819f88d6fb3ab7a098b820246093342
/nix/store/g5ls53jrk2vspdm9lax803ik3244wfd4-ghc-7.10.1,11,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/397wg5v23b80mc05m36l084zsx35v6ir-ghc-7.10.1,12,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/whnrz5l7wgnjhqm1izh53ks8ziyxwbww-ghc-7.10.1,13,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/qrlccjvrmgb8igszy186dqmc08s9qks4-ghc-7.10.1,14,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/a37iqj4lw2fmms54zs0fs9myj6wjgs4c-ghc-7.10.1,15,aeson-0.8.1.0-b2c149a110cdcde97c3e1d551931307c
/nix/store/zsl9p97g2rrlxdiw8dci6cp511li95ha-ghc-7.10.1,16,aeson-0.8.1.0-6ce04b26ae4131c22bce8d24e8bfb75a
/nix/store/24d78yx5mq305m72d5w5vsb7igls9k3a-ghc-7.10.1,17,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/wmfijl8d5yy25i65nzg5qz4lr1i1pbr6-ghc-7.10.1,18,aeson-0.8.1.0-da1ecb97b449875a7881d32057e29fe5
/nix/store/zccp61q0cg0svhqz4ahwnj3iazmmvzrl-ghc-7.10.1,19,aeson-0.8.1.0-0d873078f6fc175bc0e18035d0b8d96c
/nix/store/chi5w86q1j0h3d3v1qgdp1hspdgw23r8-ghc-7.10.1,20,aeson-0.8.1.0-2282da59542ade875188a289b7443630
/nix/store/h8qjx2i15r4sv2g6w6qamzvcqz765s1h-ghc-7.10.1,21,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/q7r6ihkc5rvrxa8zlr19hrhfbabkz77x-ghc-7.10.1,22,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/194sbf5k1646cmc1mw38bdrx80lrpw1q-ghc-7.10.1,23,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/d36c41918f8wqbrdgq4swwazj8scmbaf-ghc-7.10.1,24,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/zxrnkllj3pwpbcvhd93y1mvyfdwkjs0p-ghc-7.10.1,25,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
