storepath,iteration,libraryid
/nix/store/ly57bs6s8xb8wqiz2ba8bm64fn635z02-ghc-7.10.1,1,aeson-0.8.1.0-229fa88d242ca35aa851413401f906cd
/nix/store/8yrj8d2np3m2di8avmk04fpirj3rad8c-ghc-7.10.1,2,aeson-0.8.1.0-6ce04b26ae4131c22bce8d24e8bfb75a
/nix/store/hymw4sgihy6j8y6v19lrfrj1majabki3-ghc-7.10.1,3,aeson-0.8.1.0-d735c04548e926f87efd7ed3743ddf04
/nix/store/mmvzn15jmqbrji6a83lfq740mag9xjab-ghc-7.10.1,4,aeson-0.8.1.0-d735c04548e926f87efd7ed3743ddf04
/nix/store/b9yx0mqd1qz93vmrpwqbdzapjm8syipr-ghc-7.10.1,5,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/d40nzjifqqx6jqyas6knmi7zafivff0i-ghc-7.10.1,6,aeson-0.8.1.0-a11a9c0f53ea878d5a633933e100d0c4
/nix/store/hzv8c6fyp67ghl17hf8ygj6j32yqi1fp-ghc-7.10.1,7,aeson-0.8.1.0-92dc1808312c8636c6cc048aad7cb33a
/nix/store/b2iz9v2jjrvlia539xp5vinagkjb40fi-ghc-7.10.1,8,aeson-0.8.1.0-9863c6b2bc44e4d2f9a7b412951baded
/nix/store/88yhpq2fprv77afm0padqqw6wbpcv4db-ghc-7.10.1,9,aeson-0.8.1.0-66ab51058d278406e7dfad36f642afc0
/nix/store/24a2wmw1sap3j8w14gzcjmls2wim839m-ghc-7.10.1,10,aeson-0.8.1.0-74b3cc888765f8c03613e45e9b6e7f3b
/nix/store/wblx4bsfpabiymxpccknn7v286j55axa-ghc-7.10.1,11,aeson-0.8.1.0-a2f83c8290381e2a4b8121d3c6662e50
/nix/store/lsmi8czjan9z78gslkgqd98jk2z6pd0p-ghc-7.10.1,12,aeson-0.8.1.0-66ab51058d278406e7dfad36f642afc0
/nix/store/xphw6r73vwmk4a29l128n5yw1lqwhd7l-ghc-7.10.1,13,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/qy3yqgw6811agw27qiq8wd49jvbkxq4l-ghc-7.10.1,14,aeson-0.8.1.0-4908ce0356fb31d625e2b472c05cdbe2
/nix/store/iqgy3l0ap8z1klc2lip2sii9xm30hydv-ghc-7.10.1,15,aeson-0.8.1.0-543d4f574d88d5148e6ae8588073a0c2
/nix/store/1i57dj76jynns62rfbxa1xpzd7l33w85-ghc-7.10.1,16,aeson-0.8.1.0-e4fc57413c16fc43a8f9b329f0acebdb
/nix/store/2plcv3dgs4lilqh61zwgaqfg9s9p3kc2-ghc-7.10.1,17,aeson-0.8.1.0-67770eec04985e56e197011e611f907e
/nix/store/rz9zi461lxj7z52x66bg6acx73da8gfn-ghc-7.10.1,18,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/5n7n7ivg8nwhhirkq79skadxikg05j85-ghc-7.10.1,19,aeson-0.8.1.0-2f74b447ce7577b8875b51b910223eef
/nix/store/vs690qnw0cyi7pjv4nkiigvi1jf54ag6-ghc-7.10.1,20,aeson-0.8.1.0-5263b2bb3d00fd4972d43580891f2700
/nix/store/q7mhn21fihnvm9379rcnb2wlcgyjh22b-ghc-7.10.1,21,aeson-0.8.1.0-508e49a80917afe92b772bf975e22b5f
/nix/store/kcagk6f1yj7aad1x90ws7g83q9xlfnpx-ghc-7.10.1,22,aeson-0.8.1.0-30da11bb56f8a9cf34ec58c559d5d5c8
/nix/store/37asqyiyraqf95inzcp74n68rlsr6hhl-ghc-7.10.1,23,aeson-0.8.1.0-eae5866e975152af11a15952a7f8d56f
/nix/store/iyirc3cdhh8p921wqy0jr4qw5s4pamda-ghc-7.10.1,24,aeson-0.8.1.0-20cc455ec2cbf0332bcdcacfc2e8d78c
/nix/store/228dwmn240bkwm94f33qpfk9cy4pxan5-ghc-7.10.1,25,aeson-0.8.1.0-d86f59968a8d63d89c74e8c5843e25ed
/nix/store/2va0dymjmi4zhkfmlgjybs308hrz44ac-ghc-7.10.1,26,aeson-0.8.1.0-eae5866e975152af11a15952a7f8d56f
/nix/store/zsa9a1vwvlh85nwaal93f0a3x9c01pzf-ghc-7.10.1,27,aeson-0.8.1.0-a11a9c0f53ea878d5a633933e100d0c4
/nix/store/fslw398pgv9x8v5sffylk23xziq71wj7-ghc-7.10.1,28,aeson-0.8.1.0-a11a9c0f53ea878d5a633933e100d0c4
/nix/store/pvz4cwdgg0i2zwgh3gwfqcjbfnnz4w9w-ghc-7.10.1,29,aeson-0.8.1.0-b253af55101a8ee2f2638c8587de8271
/nix/store/is5xdz71y0gv1ywb0zc0hq4hxhcs54z0-ghc-7.10.1,30,aeson-0.8.1.0-21b4d772bab57a461eabb1d510524867
/nix/store/w5yddyl88alldxjcpqwr51k1a8vx23i9-ghc-7.10.1,31,aeson-0.8.1.0-6c49fe42c1a1661fc396ef55905a505d
/nix/store/5wgqqw4bilmypvkhrvmpabagaha3lvnl-ghc-7.10.1,32,aeson-0.8.1.0-64dcb22f274afee9802cf6851a655573
/nix/store/sr4v8cxjmjirvyrpr9m9lskrdwnqnbd3-ghc-7.10.1,33,aeson-0.8.1.0-3ff9f3376271dfa4a6bf7cb6884833f5
/nix/store/2cba0py67jm15hmj1l02mr5gnblbaw8d-ghc-7.10.1,34,aeson-0.8.1.0-255370a4b21200b5371d38a766edf989
/nix/store/aybvnl60b3bxmg1yglzxq30nfgwdn79b-ghc-7.10.1,35,aeson-0.8.1.0-66ab51058d278406e7dfad36f642afc0
/nix/store/l71fn5af8kf7734p3fsrq68ag9gclqsr-ghc-7.10.1,36,aeson-0.8.1.0-bdefc518cddbef40ad38ac78fd979a9b
/nix/store/82sarkn45dhwp4hcviycq8lqn8xq40cm-ghc-7.10.1,37,aeson-0.8.1.0-d735c04548e926f87efd7ed3743ddf04
/nix/store/adq2272pymwq1q17xn1m9vcnw1r4b2sz-ghc-7.10.1,38,aeson-0.8.1.0-34332b4dfcb16cb57bd4498440f37a4e
