storepath,iteration,libraryid
/nix/store/a3cr7qhj83yjvqmkhc1hiihnma3ghi0s-ghc-7.10.1,1,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/62n1zjpvcx67cyxizwfixyr1klx67m9h-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3vdm72azpcnypvn1xrqd5nk54ci2klhw-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/n1pg10danj39xnymg98pc962qzvk2qqj-ghc-7.10.1,4,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/41camhq5ln3grfrbh1jcpqfpx5dshr9x-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/f9572dapx992lp07v2xa40jz1k11fxlm-ghc-7.10.1,6,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/043i2zi8f3q6hjn90zjlf2fyiwk1yyzd-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/2nblzi7hbxyhnn71q2bf598sq1gcmlxn-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/caqkbzrx6d06sk3a5qs9p8jlm1kq4nik-ghc-7.10.1,9,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/drxai61l5yjv63iidcf8jpmxmn0k5i6w-ghc-7.10.1,10,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/ikl1biqfpfqa4lzbkzhdbs503y6vzxww-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/gifyi69hnks1qr4wrixmkh0bav3v38s1-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/d842k2h66mvvf68svih6rzyjwc53jg5f-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/gcvilqnrrk3vbhh9x3lplbwh0pnj4qbh-ghc-7.10.1,14,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/p2nq2wc82r6cckjrrpjnj693vi4x14fj-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/kqda2hh38ppja6zzagagjpszicchwykh-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ng8dvn5k8bglbb9c28knj980r4ys91w4-ghc-7.10.1,17,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/gvksif9xhlrmx5mbmzmkk84843sbswak-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/5g7fxfad62c0gi86rb4hcln7ysdjj3lm-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/n99zqiffp1nipaw2rzv1qcs0plm910is-ghc-7.10.1,20,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/197nnb55834bh7vc08qnlvwn8kq58mpc-ghc-7.10.1,21,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/2vqra5g4f7jifbfs74av2ciza2dsgb0r-ghc-7.10.1,22,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/avi4vy4y186z5qhm6f2qhcqwkvqrs6qz-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/9f5wvwvjpvxq1w5lai6asxab0sbya9x0-ghc-7.10.1,24,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/0zzrz9vbw96r73r8z7z466w4d8z1g5xy-ghc-7.10.1,25,text-1.2.0.4-287fea8100fd89d633753334774d997a
