storepath,iteration,libraryid
/nix/store/aiqqfx7rd16fa3n30x5x38magfsmlw44-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/2v8fj63wfgqxi1cx49w1x8ks2255gaw0-ghc-7.10.1,2,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/9vkl50izspj78dshm745b4dfv1zl7v07-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/39bhl1g3c87j74cl82aannvv417q9yg6-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/70b54mgh1ilazkw8l24vz9vqfm5dsdxr-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/0ab4x78va1malppwf7dabgw9c2lqza3d-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/r490qyvg81xvki2jiszl5s188x5v20w3-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/agdsbzn2a0vv2sidwny7hhzwj44isn1d-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/nhk4jxp21nz4m2bfk4nwk6mcllw7zdlm-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/1v9a71k0yqmr6k7vs7f3xn2p2r43h9xi-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/m3dpzsn47h7r2yhmlway2mzjhq9qb9xm-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3sjx7wv9v4q7w4jqcb0dwwd64f4x853f-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/hqnz06vr6hnh2hgk5kbxg992zvv6qlj7-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/c546pkf3mq5vhakxnhn6fwj31hrrlf8r-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/h1mp633lfja6r04lkivmwx657xm4106h-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3a4mrp6haxpnsrmwgraqiczb129vx7qa-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/swmcz9vr3q29120ph6yfh3d3wf98nc53-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/vp5p59mi6g0x37ywz6fq2q4df6zxyhbq-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/nvqx43kivrdkl72jx5a2gvl6bk91kkkx-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/7lzm56bm4wg3w1jsqch89k90klqmrnq8-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/yp5n9m0mj0567a5xvshj6wam89gv6w8h-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/g8rlriakfwa9iwivck9hifwl0vd2adqr-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3096f3l80dj75s0lapb4sr2wlpg1gcnx-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/7fmggdg8b3fslsv2fwgxmbyk5g4rg5yi-ghc-7.10.1,24,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/2675zxr09hfj9c1a6c953lpgidqa49p0-ghc-7.10.1,25,text-1.2.0.4-287fea8100fd89d633753334774d997a
