storepath,iteration,libraryid
/nix/store/wqp9y3c5wiz19r4sb80qnsbhn3c7hr09-ghc-7.10.1,1,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/6libd28jn9ij3shpx19n9d1yhm9kw8mw-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/rawf23n33ncl5ig44ihv5yain4rydvnn-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/vjny1drmnys4y1m7p4nvy46nb81pxjjp-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/jmqj5xlr7n6ph8aw10j2wpzdk0cyg8gl-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/g9jw36f5chb0hkk6jvqn9zmwdn24wpby-ghc-7.10.1,6,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/sac2f9iqk7z71wnqwpkbxz123704qfky-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/16aric0wivwn2cahgbcd4piphncgzknw-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/c2wagq4fxaxrbdfpkzw6y65bls2hwya1-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/ggq0rlj4plngciyvsqykcgg4ggxci0z1-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/rr3vz109iqw039yy3l63gb9v1mrmk6fj-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/p66z3pqf67x3j01d82rg9rp75bjl5y4q-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/qb7a52pza4gnxjpikhc2wj9yqj80g5l6-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/1nsqv870wxw878zh6sp33n0r54ygxdyp-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/r42a0if1s436zf35b5dlj4qr1sfpsigm-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/zsz3q6wm0qsr0jlmdhmw08nm6w4bswhh-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3zc61aqvj5b5y9swjc4apgv1ckk3150f-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/vg5sa15092szpn14zb1zfy3987vxhdr4-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/rjfqrl9wvc5l2a9xmy70dfh70qkfyz7f-ghc-7.10.1,19,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/6347s8950q2fhwih3bmzdl7akqpd2pip-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/a9nd26w62a0s0ziy9f6n4y5scx2sph2z-ghc-7.10.1,21,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/0macl2aqn6ssa4liqn03hp9ia3wjr0s1-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/r6f08y1gc4mdvg58kssmvdd1142f69hy-ghc-7.10.1,23,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/zl1jc7m19bs0azsz5qnhas5a3s1z1jvy-ghc-7.10.1,24,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/bgbam4x6y03rqzxd5c1cm2zm0i5cxpmp-ghc-7.10.1,25,text-1.2.0.4-287fea8100fd89d633753334774d997a
