storepath,iteration,libraryid
/nix/store/03sl49sklffjsnh602plx6acpfsz91ja-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/lf0rklwhpzpc6kgg52nacmwk74yqinj3-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/5wqm2wwpjhcaa76621sllcmxn2dibm7l-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/skv9jfkp9xsnnwmzqbjzqajsmdjiakyv-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/h9nr85qg24sb30ywb6nm28vx71w2lg6l-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/r7apgllx8kdw6p7lbkyvkblkdipl33fl-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/00l2cmya04ylmdlqwn22s2fd1ryi1a93-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/g9abq0q6gx6ms9dvv1glnjp2z594nif0-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/dniffgvsbr64p0j3a60cqfkaf1wkvhd8-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/h5iaryr4pa3jsnld564fi3sq2xd70ai4-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/gp8n66l2znhwf484hln0al1bpmljqkwx-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/i2ccim1ni9f93rsnppf892ncsxapmfwh-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/zqpak4kz7r797hfkzz337w79i0947w6j-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/n4fksj8v7cp4q1z0w5lgqd5cyvm877r1-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/mgkgdw0pcv96laxr1rp2vfwii21bra6m-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/is7az70x812yjhhfqxhgzf9ws2lbcq0b-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/pzni0zw9g81kig422mx48wzxzzb9r1rm-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/09xjlrasm99grsdsccbka4lpl3z23kc7-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/dzpr99j2r9wsq3zxyfzh3fk1pds1555w-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/bxdvc54jhmhm70qqa76plnj6p435jlfr-ghc-7.10.1,20,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/w4ac1kqb34ni9hg3wxqyf43xhjy99jsz-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3vy0zrasfbpl3vhzbh5iiplgj4k3ibgw-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/8705dlxdxxxdq7il6ar11f3c5mf5r8bx-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/76f7chf4c3kxfd3zvvikicdwzmyqfwij-ghc-7.10.1,24,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/lmlmpv69b4qvw4pavgqpx4pkjrcljm7i-ghc-7.10.1,25,text-1.2.0.4-287fea8100fd89d633753334774d997a
