storepath,iteration,libraryid
/nix/store/pqzzg6pqrs1cjb46hzdf03v8ra562ygz-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/6984hypfzj5pl1r5s0fwg18v1cgx9fna-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/lsyn75k3ifg37h3j4cqwzgzp93wqdplf-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/mnn652szq4mpl18g3b1js51rccsyvbz1-ghc-7.10.1,4,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/j071aplm38yhs3i7cwgaxvkw1kdjm0l1-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/b3hl31liw2a3hym3l9k9lgk5fpn7i99p-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/b1qf2mmdgi8znvlj3wbijib6vssh33jg-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/1xypdapni1mplc9m5a7a7hsw41d5i324-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/sn6ssbhz7mj6zafqpfgsd6arqw7cyr1d-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/pfy7y244wjv399160ir4d4l66di887zw-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/a361pwcw36b5ib971ac6s693yqryyq6p-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/cndrym528c2a9rp7wc91mk19k3hvgalx-ghc-7.10.1,12,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/qzz2xs0avi2kfgn6yc9xiy8shax4mccf-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/c7bg51f3052xili2ygl8667b38i53riy-ghc-7.10.1,14,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/dbbj0zpsxz2s3ssrww459k5b38gxl3g8-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/h2ln74754dkv1z5y30l4yyykwj3d62y9-ghc-7.10.1,16,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/wfjzw3s5jpgrykb35n5pvdjmmqg5j9ag-ghc-7.10.1,17,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/v7dabgb2z2667lpffyafzp9mdf19w1h6-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/p0gkq66xfx9s0p5qkfbpkgx349rl6c5b-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/bncz07z6jfag497c59cwqb8agv5rbnh3-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/nl075vkcdd1j0v3bqdi0g0qykmxf8651-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/0mdsjbab9kx1fpc00j6biwjlg6a23rpv-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/xq974b0yrk13v3p2wwghhk8nqfi266s0-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/92ppj3s9yl8v0413chk59dfqxmjk3kf9-ghc-7.10.1,24,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/8p7sbmmd19p3qm7ql5ycw8pzpmzgkxwr-ghc-7.10.1,25,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
