storepath,iteration,libraryid
/nix/store/g178ibl00rqn3i44zw690pvy84j9v3m4-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/g36gbmy10k6k818dhkzkb6sis1zdqps1-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/fs5vs444a6w9q3g47i7b5ppwwab3hpgh-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/8l7r0j95gxsjlvcf9jf1vqlvdgaxqs8a-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/9ycimbmca941i9xc63ax235zrvnlwhyi-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/48fyrplram5h6qayc1d0h787imv5k782-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/p46ap1x1l0cj88p021pvgwg8qg81m4xn-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/fk1f54fn3rkfvcd2ai46rw9lysm26k07-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/fr65fy146acy7884ws3pmisxld5s41f5-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/41a9nbxrd9w2671jphcfmhx3hsfmwwv0-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/c7p2cf8c00v7dgdsdnkkba9fc25bm3vx-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/f06l704a1jxymifvdps4ri0clm9yyc4n-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/k55d3z5yx97z1yszsrcigna3mcxf1msk-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/g1m2ng4k2nhc4qj0skds0inrckqv24ic-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/jm195q3i1rslwyxy3l1vpgkmidbp4x9g-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/6ils03pj8j8wjl3likiblq1qmqgm24a7-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3j9zc3wcdnvwz9amj90vf4jny5cy39j3-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/7ccpv1ph0k7sv4g8q2530cnanddgq2xc-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/sjbzp30pl2rr18mgg8r50qk6z0ximk31-ghc-7.10.1,19,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
/nix/store/wibcr0z8w1bx34r50gv0f5x8ay5cc0dq-ghc-7.10.1,20,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/1qz86xr1hcy93jrfkjdzj7lf8gzihpsn-ghc-7.10.1,21,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3jhm1q699bsiinmrnv3sfqmlg5q13dpy-ghc-7.10.1,22,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/6vhp0sgincr3iawp9y3jg9888bpsja60-ghc-7.10.1,23,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/nv9xzcfi4pd3qlqpri3rxibrgfx6z7xv-ghc-7.10.1,24,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/jygd1cj9rzgsqdfjpn8f6v4amrkmz9mb-ghc-7.10.1,25,text-1.2.0.4-98506efb1b9ada233bb5c2b2db516d91
