storepath,iteration,libraryid
/nix/store/pxw5s78wa0vb21ais67gvdf6k4rz6hzw-ghc-7.10.1,1,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/s556nnmayf0xwddwfw129jaaqig8zljz-ghc-7.10.1,2,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/sx71k20b6xjh1ljxg23dn84adxhb8pc6-ghc-7.10.1,3,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/8mns53smh04d0rmdpg3g3z35wlyxrqbb-ghc-7.10.1,4,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/0gcgyrbpm49pay3jlb0k5dn9k56rv9mg-ghc-7.10.1,5,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/dxk1swacbwzxc1in5bmiyr17mq2mfmpr-ghc-7.10.1,6,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/0gbh7xrmkwc00kl475q0161x18wfj4n8-ghc-7.10.1,7,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/mcm3m70klia14s80496f8kshfxc7gcf6-ghc-7.10.1,8,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/snzqyc6drb729il4ib0zxrfj9g6c2ahj-ghc-7.10.1,9,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/6cx9p6c5fa9f9ijf2g0qfpl0ighnb6dq-ghc-7.10.1,10,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/ia4v6x8parxj8857jx8nilcmbzbxrfwi-ghc-7.10.1,11,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/ivkrmw61armxlg4zimpcphi1dcxd8q76-ghc-7.10.1,12,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/wrl4nd70l93pia195y81cj7fmdsf9147-ghc-7.10.1,13,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/s28ggcx6mcz75qp5zq4dzh46xd9gamsa-ghc-7.10.1,14,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/plyfm9jparq1wj75sdl3yzax41gviimy-ghc-7.10.1,15,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/ick0hd530jzsq2gfyjwhgn0anf2c99hc-ghc-7.10.1,16,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/avnnzawy82dc802vh03vhibyb7a7xxbd-ghc-7.10.1,17,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/gqd2zx2zsahvqs18a8hfinkflm1v3k44-ghc-7.10.1,18,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/370qh7k37cc4bb7m6a9q8d2m5zhvcapi-ghc-7.10.1,19,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/l5sx9lcmqizfqsw969mnyirz0rqpngfj-ghc-7.10.1,20,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/kygnjh487s58iil03pfi3ckard6l6rcm-ghc-7.10.1,21,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/ilzaiakfr6x0yamvx3qngiwa0yh9rnhp-ghc-7.10.1,22,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/p5f0lr01mfyx1clvacdll4g2xvvkmwqp-ghc-7.10.1,23,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/qc8z3qx6sdmgq375jsrlshikvn6y9p2l-ghc-7.10.1,24,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
/nix/store/zpz6s71h1c3kx9hnfvv5ccgx7zja5bdj-ghc-7.10.1,25,aeson-0.8.1.0-0f708ead88dee9b6f9f8821f8e704e08
