storepath,iteration,libraryid
/nix/store/ya5war76s6i7m0svz1jsm43sbhbwkphs-ghc-7.10.1,1,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/xmqyj0hw7rmkjmp5fgz5vhr2nfcdi32f-ghc-7.10.1,2,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/wkgsb88jwvxhcyb6vjlbg0way8ami1ma-ghc-7.10.1,3,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/jglfhp9xrxqcapsyp1nn1i56b926hwhm-ghc-7.10.1,4,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/8q5vsh684x694h74aif9690qnlg6j345-ghc-7.10.1,5,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/nalcqlqf9gvq74fb0jhvjdpad8l83hkr-ghc-7.10.1,6,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/1lwzy1d1xhkq90j8m2ij4n49aphqzymd-ghc-7.10.1,7,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/k6vk017srjigk4hfc61d1k16s56r2q26-ghc-7.10.1,8,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/vqr0nd20rnwcv1g07sb9n79qh9bvlpd2-ghc-7.10.1,9,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/96has6lw7ac1rs3978wx5air5jwfaxm0-ghc-7.10.1,10,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/9nibw5lrb3q4s2f6sl9bs39xgn1r2ds2-ghc-7.10.1,11,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/iv1r1qvd4w1xa4m748gcnmin2n5wv8kb-ghc-7.10.1,12,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/3x97h1ax4kjh9irx13qljihx16zzrfdf-ghc-7.10.1,13,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/by1w3h7b4w2kih9qnhp3z81ywp51y8dx-ghc-7.10.1,14,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/hfhyhj2c6fvnp28f4a1v3kgmj2s8r3c9-ghc-7.10.1,15,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/nqvar6f2vihfxply98ps7p6j11inrjzw-ghc-7.10.1,16,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/yi108asc5krvibc5pbg1vn1nsgdnd50l-ghc-7.10.1,17,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/vgnjmnj1dch1zdgxf3jz8cxz4vljfp33-ghc-7.10.1,18,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/82dqyxsljq5fzvr7gkq9f0ya0c59smsr-ghc-7.10.1,19,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/fl9fnr40y12693lir699j68f6y8mdvhv-ghc-7.10.1,20,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/qldsghsqlr0a9afydyfvndsb1f160szc-ghc-7.10.1,21,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/a979wkiz2zgpj9p9fhk2nw2gim5zwsym-ghc-7.10.1,22,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/cmnbp38ybrf955z81kqrmjygblnmm8cs-ghc-7.10.1,23,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/gk3bjwyzs218g5wiwvrgsvw9x44z4l93-ghc-7.10.1,24,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/n32ldl8yafr3nx03540bir8z9n16s0bj-ghc-7.10.1,25,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/c28nvwcn9j2pyknaaa9phv3wnylbk5w0-ghc-7.10.1,26,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/bgj8f9s60vyr97xcbjw9grj1p7xn9n91-ghc-7.10.1,27,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
