storepath,iteration,libraryid
/nix/store/8lxx89vh17791n00qwjymxq3w1wkmn6d-ghc-7.10.1,1,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/4aa2kcr9q5236ab2xq2ahmycav07hnrr-ghc-7.10.1,2,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/v38b74d84658xv8fkp4wp0b0d9r0nm1j-ghc-7.10.1,3,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/ikj4xad49mmycqwb27hd7f4kywdhkp3d-ghc-7.10.1,4,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/2z4j818pjvxss1l7g331hqr0s4qxjcl0-ghc-7.10.1,5,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/ic2ykr01pp8zx2978ha92f7ab9lsq5hj-ghc-7.10.1,6,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/l157xfikhh8bvss2cpfq39n07yspxbj3-ghc-7.10.1,7,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/mplzmhy3dgzgjhgy1ari3h0rhx0nxb5g-ghc-7.10.1,8,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/aqrayvblfdid2sjd1ivp3jjq5146dfih-ghc-7.10.1,9,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/9zw6d5z8k1b6gi0ms8aiznxg1skpbk8c-ghc-7.10.1,10,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/yd7p0zl5ygf2fi3nixl94f6pghin5kxp-ghc-7.10.1,11,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/j7ci2pnzyrgdxxdjbz1vr09kpamjba23-ghc-7.10.1,12,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/khxvpn86cv9130dylz6sny3djrnj6bb6-ghc-7.10.1,13,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/mv9l8jxvwf3y9r6a7is5riaja3vacl8r-ghc-7.10.1,14,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/5hb0czjzpzipr5lghkm82n4v8ym9pigr-ghc-7.10.1,15,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/4nmr980swpb4n5p8ss43flh1nh0ply5w-ghc-7.10.1,16,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/2an51mf9q7wzsw5f099va92wdfmhkhvi-ghc-7.10.1,17,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/fm0zrpbbp7qssfka0i8g74zsmpdcpwpr-ghc-7.10.1,18,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/z9sxq89qsrwncbl1ymq0wh22bpqyi4sl-ghc-7.10.1,19,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/ynndzxa81h1r30571yi5hsh4kwrv4z52-ghc-7.10.1,20,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/mjmsdhq2v74ayixyrcdlfn08gp469nx5-ghc-7.10.1,21,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/dsw10cvx71an1z8n0r3xmz36g210avip-ghc-7.10.1,22,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/vnb0k55rsc7hb95r8r4wi27mrgg5c2lg-ghc-7.10.1,23,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/gbsyzv7xvyrsdb1nvwq22yaszs0d6g5z-ghc-7.10.1,24,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/wqncjgz8c12ah7nsci0r1nbhyrfjpw2l-ghc-7.10.1,25,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/acdjqz9zwihdyq8dgfd6bzwhp5197b2y-ghc-7.10.1,26,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/68c0ri2bjqnsy5nhx501li6lwgbw2cd9-ghc-7.10.1,27,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/6w687ljmkks7qskidn8cxqx311scjc0n-ghc-7.10.1,28,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/53vgyspwak6ks4bnxbsfbdrzzy3q366p-ghc-7.10.1,29,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/4byql8649sgvgwixkcvpdfwn7fhdbnsy-ghc-7.10.1,30,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/8ccw7ancwip01gfdhipy131nbpq97rw9-ghc-7.10.1,31,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
