storepath,iteration,libraryid
/nix/store/c61kvipqp3ky7p4q6b4ddblgg7g2xplh-ghc-7.10.1,1,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/q0kksg77vvc6vwfyz5fb5g7jy3jasgz8-ghc-7.10.1,2,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/ns0n2ca8a0r3r9bbzkfpq5ybgx27xx58-ghc-7.10.1,3,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/3470kzfw0s85i2vcwg6qn5sn5nsxinhy-ghc-7.10.1,4,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/0ciavgvgajb45vk31i10qh1lq9ajyrxw-ghc-7.10.1,5,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/0cw9y23fzjqpdrh0irpyvm7j2i6k4j25-ghc-7.10.1,6,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/knhvm689sfz2qx7h6ryklrz3nlgscysf-ghc-7.10.1,7,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/ishwgi20m6lqm9xkag7pgqm22gmwa3yh-ghc-7.10.1,8,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/fas6g2zdl8vsn8x502syrsa6nzrk98xr-ghc-7.10.1,9,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/cbrf0ar2q1gjghz43hg7ydli3kffma32-ghc-7.10.1,10,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/6cbnkrk37il473g49wp7dj0p77idyiy3-ghc-7.10.1,11,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/m9kpq5vkjwcp4nqbdpwc00jv4z25kzy8-ghc-7.10.1,12,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/ws7vmmgmf7n4r91k8hkl4k67nr1dqazz-ghc-7.10.1,13,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/vb42wz2vpwhb0bqfhmzyim41ivkanc81-ghc-7.10.1,14,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
