storepath,iteration,libraryid
/nix/store/za3ymr3z5afif4k8gap5ysmasgb8p1bm-ghc-7.10.1,1,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/x04myhy5vcbj5mq8b0c7c5m6kg94dgvc-ghc-7.10.1,2,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/7pxah13jdyw5rj4my1apgqx437spqhsb-ghc-7.10.1,3,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/pwhbcqlnjdbidmblmgl52x4p0cyn9c3n-ghc-7.10.1,4,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/kyknfcbpq9mcw4p1vricv7fdflm18cdy-ghc-7.10.1,5,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/61dj1ln2aplfi42sgm1rha80vgwqwj27-ghc-7.10.1,6,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/1j9ip2hf29mfpkfy5v1y4hara71pq5ds-ghc-7.10.1,7,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/sx9mm1q1jab73h6bzwi7hxbfa8cnkyjp-ghc-7.10.1,8,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/j8mcl2jaf9g32q34ryv3ddxhifa1035q-ghc-7.10.1,9,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/8dwgkbcms731cf1s956kg6rwj8dk9nn3-ghc-7.10.1,10,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/k55vmx8cgpvxpw2fki9c7q3wlga9jwyp-ghc-7.10.1,11,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/0fp2nnb1s7m45zp6606090myw4s93550-ghc-7.10.1,12,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/3l55w48y1d82nzigz9n5yirl0n867pp9-ghc-7.10.1,13,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/5zgxm3bbasfncrks1bhwv5s6zhh6nnsr-ghc-7.10.1,14,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/snvly50c9ix4ilzld4syb5igv1f7spq4-ghc-7.10.1,15,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/bsrha2mrxdkay18n96nv48vp29hz519m-ghc-7.10.1,16,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/a6g27mv5r61jz4wjq72pa66fjyya3zfc-ghc-7.10.1,17,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/fqh4yylcg92869129g5q2hi4ccjrv65d-ghc-7.10.1,18,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/fqlb3jpwi25lswq9hq9150myn5hl73vh-ghc-7.10.1,19,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
/nix/store/sy33iyr2pxyqxgrynmn4xf3asgiwn77j-ghc-7.10.1,20,aeson-0.8.1.0-3f4b4f84a455998dc173a18ff4616b0c
