storepath,iteration,libraryid
/nix/store/k2zahvx3vp3xh9ag8k1k04zzr43dp49c-ghc-7.10.1,1,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/i0hzh5x6kw2vhahw9m9qp2ljzcha4nln-ghc-7.10.1,2,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/2vjnnbyg7bcd8gpwbpahxchnpxxa9k2n-ghc-7.10.1,3,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/b417zrjdnz9skxys00lg6yh92nv4cd2k-ghc-7.10.1,4,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/b8m77blmbmkagikbw6kg8nmffr7v1dxj-ghc-7.10.1,5,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/vcr4qmdhcnglsh530fi8s08drj0v3iif-ghc-7.10.1,6,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/y11fjx9zmamss9qyxmy7jnydwgrpgnjh-ghc-7.10.1,7,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/r7ncbznja5r3ynvx76w9ci3170bxn574-ghc-7.10.1,8,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/fnk85a34gm5xvxq8bjxl6na7yxkhxv7b-ghc-7.10.1,9,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/izc9whnb50yrm86iz9gnq1kzzwsnfxgw-ghc-7.10.1,10,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/93cgip7r5cns76b0v93vrd11v4qpl3js-ghc-7.10.1,11,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/l5nr5g5n7hxyl599mi6pzs7lp16gxj8q-ghc-7.10.1,12,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/3il8lwb9z9xxwk53jvbwn3n9lx1h1mld-ghc-7.10.1,13,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/0d5ay5sfwhp88mgh2i25705bpr9539i3-ghc-7.10.1,14,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/xb283sj3i0j3a16aia8mmgysln7yvfl2-ghc-7.10.1,15,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/2ii2r7nb6dm9ia6angfj3ri879lrvv63-ghc-7.10.1,16,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/lz7qnw5y8sfzchdf3q2ipblg0pzqjhvc-ghc-7.10.1,17,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/z0f87gralrhvdbp4rab58d6ygdzy8p6d-ghc-7.10.1,18,text-1.2.0.4-287fea8100fd89d633753334774d997a
/nix/store/4f6ivwh3cwwbfnirc5k2p9hh8wa181hc-ghc-7.10.1,19,text-1.2.0.4-287fea8100fd89d633753334774d997a
